Source,Target,Entailment Relation
ZFC,ZF,Contains
ZFC,AC,Contains
ZF+DC,ZF,Contains
ZFC+LC,ZFC,Contains
ZFC+PD,ZFC,Contains
ZFC+AD,ZFC,Contains
ZFC+MM,ZFC,Contains
PA+Con(PA),PA,Contains
PA+Con(PA),Con(PA),Contains
PA2,PA,Contains
ACA0,RCA0,Contains
NBG,ZFC,Contains
MK,NBG,Contains
Z2,PA2,Contains
ZFC+I0,ZFC,Contains
ZFC+I1,ZFC+I0,Contains
ZFC+I2,ZFC+I1,Contains
ZFC,Con(PA),Proves
ZFC,FLT,Proves
ZFC,4CT,Proves
ZFC+LC,Con(ZFC),Proves
ZFC+LC,MC,Proves
ZFC+PD,PD,Proves
ZFC+PD,BT,Proves
ZFC+AD,AD,Proves
ZFC+MM,MM,Proves
PA+Con(PA),PH,Proves
PA+Con(PA),GT,Proves
PA2,GT,Proves
PA2,PH,Proves
PA2,FLT,Proves
ACA0,PH,Proves
ACA0,GT,Proves
ACA0,4CT,Proves
ZFC,CH,Independence
ZFC,GCH,Independence
ZFC,Con(ZFC),Independence
PA,PH,Independence
PA,GT,Independence
PA,Con(PA),Independence
ZF,AC,Independence
ZFC+MM,CH,Disproves
ZFC+AD,AC,Contradicts
