Theorem,Minimal Axiom Systems
PH,"PA+Con(PA), ACA0, PA2"
GT,"PA+Con(PA), ACA0, PA2"
CH,"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD"
AC,"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD, ZF+DC, Z"
Con(PA),"ZFC+LC, PA+Con(PA), ZFC+PD, ZFC+MM, ZFC+AD, PA2"
Con(ZFC),"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD"
GCH,"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD"
Ramsey,"PA+Con(PA), ACA0, PA2"
KP,PA2
BT,"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD"
PD,"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD"
MC,ZFC+LC
Ind_Comp,
FLT,PA2
4CT,"PA+Con(PA), ACA0, PA2"
Con(ZF),"ZFC+LC, ZFC+PD, ZFC+MM, ZFC+AD, ZF+DC, Z"
